Comment,Sentiment
"Total waste of time, pure bullshit.",Negative
Seriously? This is the dumbest thing ever.,Negative
Seriously? This is the dumbest thing ever.,Negative
I fucking hate this video.,Negative
Can't believe people like this shit.,Negative
I fucking hate this video.,Negative
"Bro, this is fucking horrible.",Negative
Awful. Just plain awful.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
The content is trash and the editing sucks.,Negative
Straight up trash content.,Negative
Dumb af. Can't stand this.,Negative
This guy has no clue what he's talking about.,Negative
Dumb af. Can't stand this.,Negative
The content is trash and the editing sucks.,Negative
"Holy shit, that was bad.",Negative
"This is a fucking joke, right?",Negative
Whoever made this should feel bad.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
Seriously? This is the dumbest thing ever.,Negative
Seriously? This is the dumbest thing ever.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
Dumb af. Can't stand this.,Negative
Painfully bad. My brain hurts.,Negative
"This is a fucking joke, right?",Negative
Seriously? This is the dumbest thing ever.,Negative
Embarrassing level of quality.,Negative
Straight up trash content.,Negative
"Total waste of time, pure bullshit.",Negative
"Holy shit, that was bad.",Negative
"Holy shit, that was bad.",Negative
"Holy shit, that was bad.",Negative
This is absolute garbage. Worst thing I've seen.,Negative
"Total waste of time, pure bullshit.",Negative
Dumb af. Can't stand this.,Negative
"This is a fucking joke, right?",Negative
Awful. Just plain awful.,Negative
I fucking hate this video.,Negative
Whoever made this should feel bad.,Negative
I fucking hate this video.,Negative
"Total waste of time, pure bullshit.",Negative
This is absolute garbage. Worst thing I've seen.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
Awful. Just plain awful.,Negative
"Total waste of time, pure bullshit.",Negative
Awful. Just plain awful.,Negative
Straight up trash content.,Negative
"This is a fucking joke, right?",Negative
Whoever made this should feel bad.,Negative
"Bro, this is fucking horrible.",Negative
I fucking hate this video.,Negative
Can't believe people like this shit.,Negative
Seriously? This is the dumbest thing ever.,Negative
Straight up trash content.,Negative
"Bro, this is fucking horrible.",Negative
Seriously? This is the dumbest thing ever.,Negative
"Zero value, just nonsense and noise.",Negative
Embarrassing level of quality.,Negative
"Bro, this is fucking horrible.",Negative
"Bro, this is fucking horrible.",Negative
This is absolute garbage. Worst thing I've seen.,Negative
"Bro, this is fucking horrible.",Negative
Embarrassing level of quality.,Negative
Dumb af. Can't stand this.,Negative
"Total waste of time, pure bullshit.",Negative
Whoever made this should feel bad.,Negative
The content is trash and the editing sucks.,Negative
Can't believe people like this shit.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
Embarrassing level of quality.,Negative
Seriously? This is the dumbest thing ever.,Negative
I fucking hate this video.,Negative
This guy has no clue what he's talking about.,Negative
What the hell is this crap?,Negative
I fucking hate this video.,Negative
I fucking hate this video.,Negative
This made me cringe so hard. WTF.,Negative
Whoever made this should feel bad.,Negative
What the hell is this crap?,Negative
What the hell is this crap?,Negative
What the hell is this crap?,Negative
Seriously? This is the dumbest thing ever.,Negative
The content is trash and the editing sucks.,Negative
"Zero value, just nonsense and noise.",Negative
Awful. Just plain awful.,Negative
"Total waste of time, pure bullshit.",Negative
Whoever made this should feel bad.,Negative
Seriously? This is the dumbest thing ever.,Negative
Dumb af. Can't stand this.,Negative
This guy has no clue what he's talking about.,Negative
Straight up trash content.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
This made me cringe so hard. WTF.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
Seriously? This is the dumbest thing ever.,Negative
Whoever made this should feel bad.,Negative
"Total waste of time, pure bullshit.",Negative
Awful. Just plain awful.,Negative
"Zero value, just nonsense and noise.",Negative
"Zero value, just nonsense and noise.",Negative
Straight up trash content.,Negative
"This is a fucking joke, right?",Negative
This made me cringe so hard. WTF.,Negative
This guy has no clue what he's talking about.,Negative
"Total waste of time, pure bullshit.",Negative
"Total waste of time, pure bullshit.",Negative
The content is trash and the editing sucks.,Negative
What the hell is this crap?,Negative
Dumb af. Can't stand this.,Negative
Can't believe people like this shit.,Negative
The content is trash and the editing sucks.,Negative
This guy has no clue what he's talking about.,Negative
Can't believe people like this shit.,Negative
Painfully bad. My brain hurts.,Negative
"This is a fucking joke, right?",Negative
Can't believe people like this shit.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
Dumb af. Can't stand this.,Negative
"This is a fucking joke, right?",Negative
"This is a fucking joke, right?",Negative
Seriously? This is the dumbest thing ever.,Negative
"Zero value, just nonsense and noise.",Negative
Can't believe people like this shit.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
"This is a fucking joke, right?",Negative
Seriously? This is the dumbest thing ever.,Negative
Straight up trash content.,Negative
This made me cringe so hard. WTF.,Negative
Dumb af. Can't stand this.,Negative
Painfully bad. My brain hurts.,Negative
"Zero value, just nonsense and noise.",Negative
"Zero value, just nonsense and noise.",Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
This is absolute garbage. Worst thing I've seen.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
This guy has no clue what he's talking about.,Negative
What the hell is this crap?,Negative
Embarrassing level of quality.,Negative
Can't believe people like this shit.,Negative
The content is trash and the editing sucks.,Negative
Embarrassing level of quality.,Negative
Painfully bad. My brain hurts.,Negative
What the hell is this crap?,Negative
"This is a fucking joke, right?",Negative
"Zero value, just nonsense and noise.",Negative
This guy has no clue what he's talking about.,Negative
"Bro, this is fucking horrible.",Negative
"Zero value, just nonsense and noise.",Negative
I fucking hate this video.,Negative
Dumb af. Can't stand this.,Negative
I fucking hate this video.,Negative
I fucking hate this video.,Negative
"Zero value, just nonsense and noise.",Negative
The content is trash and the editing sucks.,Negative
"Holy shit, that was bad.",Negative
"Zero value, just nonsense and noise.",Negative
Seriously? This is the dumbest thing ever.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
This made me cringe so hard. WTF.,Negative
Dumb af. Can't stand this.,Negative
This made me cringe so hard. WTF.,Negative
This guy has no clue what he's talking about.,Negative
"This is a fucking joke, right?",Negative
This guy has no clue what he's talking about.,Negative
This made me cringe so hard. WTF.,Negative
"This is a fucking joke, right?",Negative
"Total waste of time, pure bullshit.",Negative
This is absolute garbage. Worst thing I've seen.,Negative
Can't believe people like this shit.,Negative
"Bro, this is fucking horrible.",Negative
"Bro, this is fucking horrible.",Negative
I fucking hate this video.,Negative
"Zero value, just nonsense and noise.",Negative
I fucking hate this video.,Negative
"Total waste of time, pure bullshit.",Negative
Can't believe people like this shit.,Negative
"Such low-effort crap, I'm pissed I clicked it.",Negative
Embarrassing level of quality.,Negative
Dumb af. Can't stand this.,Negative
Embarrassing level of quality.,Negative
Straight up trash content.,Negative
Awful. Just plain awful.,Negative
Seriously? This is the dumbest thing ever.,Negative
"This is a fucking joke, right?",Negative
"Holy shit, that was bad.",Negative
Dumb af. Can't stand this.,Negative
Straight up trash content.,Negative
This is absolute garbage. Worst thing I've seen.,Negative
Dumb af. Can't stand this.,Negative
Straight up trash content.,Negative
"Total waste of time, pure bullshit.",Negative
This made me cringe so hard. WTF.,Negative
